year_id,Grade_id,Location_id,Math Number Tested,Math Mean Scale Score,ELA Number Tested,ELA Mean Scale Score
10,0,10000,27,277.777771,27,289.2962952
11,0,10000,18,286.3888855,18,285.1111145
12,0,10000,17,279.5882263,16,281.8125
13,0,10000,21,274.8095093,20,292.5
14,0,10000,29,301.5517273,27,302.3703613
15,0,10000,20,616.0499878,20,612.7000122
16,0,10000,26,606.3461304,27,605.9259033
17,0,10000,21,582.8571167,21,593.8571167
10,1,10000,20,277.3999939,20,277.6499939
11,1,10000,24,282.4166565,24,283.7916565
12,1,10000,17,281.0,16,288.125
13,1,10000,15,303.7999878,15,298.1333313
14,1,10000,23,301.3912964,23,313.7826233
15,1,10000,27,603.0740967,26,611.1923218
16,1,10000,18,610.944458,18,607.055542
17,1,10000,30,590.9333496,30,595.5
10,2,10000,24,274.0,24,283.9583435
11,2,10000,21,265.8571472,21,268.0
12,2,10000,24,275.4583435,24,281.0416565
13,2,10000,16,282.9375,16,288.0
14,2,10000,17,322.0,17,310.4117737
15,2,10000,20,601.9000244,21,606.9047852
16,2,10000,26,602.1153564,25,604.3200073
17,2,10000,24,589.25,23,599.3043213
10,0,10001,36,310.6388855,35,302.7428589
11,0,10001,35,310.6285706,35,303.71429439999997
12,0,10001,28,303.25,28,301.5714417
13,0,10001,33,316.1212158,33,321.2727356
14,0,10001,28,312.6785583,28,313.96429439999997
15,0,10001,32,600.9375,33,601.5454712
16,0,10001,24,605.083313,24,606.416687
17,0,10001,16,599.4375,16,603.375
10,1,10001,42,288.8571472,41,283.512207
11,1,10001,34,315.8823547,34,308.7647095
12,1,10001,32,322.125,32,305.375
13,1,10001,28,315.1071472,29,313.4137878
14,1,10001,29,323.5172424,32,310.875
15,1,10001,31,594.1613159,31,596.7419434
16,1,10001,32,594.4375,32,599.0
17,1,10001,22,602.7272949,23,604.1304321
10,2,10001,36,303.944458,36,303.305542
11,2,10001,35,297.28570560000003,34,291.1764832
12,2,10001,30,326.4666748,29,316.0
13,2,10001,32,316.875,32,311.40625
14,2,10001,27,309.5925903,27,325.5185242
15,2,10001,26,615.9230957,28,615.3571167
16,2,10001,24,602.958313,26,607.6153564
17,2,10001,20,600.0499878,23,609.6956787
10,0,10002,79,302.240509,77,295.0519409
11,0,10002,97,295.9484558,95,279.2000122
12,0,10002,92,298.8043518,91,292.6593323
13,0,10002,76,296.2236938,76,306.2236938
14,0,10002,82,285.3902588,85,284.3529358
15,0,10002,78,588.0769043,77,593.1558228
16,0,10002,57,591.1929932,57,593.175415
17,0,10002,22,585.6818237,21,592.7142944
10,1,10002,75,294.1466675,74,294.5
11,1,10002,65,300.2461548,65,300.3076782
12,1,10002,92,290.6739197,91,289.4835205
13,1,10002,71,293.3521118,70,302.2285767
14,1,10002,69,293.5507202,66,307.8181763
15,1,10002,72,594.763916,72,596.166687
16,1,10002,78,596.9871826,77,598.6104126
17,1,10002,38,581.7368164,39,582.9743652
10,2,10002,77,290.0130005,76,292.1578979
11,2,10002,71,297.9859009,69,293.8840637
12,2,10002,59,287.1864319,58,297.5689697
13,2,10002,73,300.5068359,73,293.753418
14,2,10002,57,299.4736938,57,302.5438538
15,2,10002,62,597.4031982,60,598.4500122
16,2,10002,64,597.828125,63,598.2380981
17,2,10002,45,589.222229,50,592.9400024
10,0,10003,39,292.2051392,38,294.7894592
11,0,10003,32,282.84375,32,270.25
12,0,10003,31,291.0,30,298.4333191
13,0,10003,29,304.4827576,27,312.0
14,0,10003,28,305.1071472,26,307.6538391
15,0,10003,42,589.0476074,39,586.7435913
16,0,10003,18,585.111084,18,589.555542
17,0,10003,23,571.6087036,24,583.125
10,1,10003,46,297.3260803,46,303.5
11,1,10003,37,296.5675659,37,295.0270386
12,1,10003,30,289.8333435,30,289.1333313
13,1,10003,34,288.0,35,299.8285828
14,1,10003,26,276.2692261,25,289.6400146
15,1,10003,33,586.3030396,32,588.59375
16,1,10003,39,583.4615479,39,586.6410522
17,1,10003,14,564.0714111,15,578.1333618
10,2,10003,30,306.5666809,30,292.9666748
11,2,10003,43,307.9069824,42,291.2619019
12,2,10003,35,295.4285583,35,294.0571289
13,2,10003,29,288.5862122,29,285.1379395
14,2,10003,27,294.4074097,28,296.0714417
15,2,10003,27,586.666687,27,594.0740967
16,2,10003,34,583.7647095,34,586.5
17,2,10003,17,577.8823242,17,589.0588379
10,3,10003,57,302.9473572,56,291.1785583
11,3,10003,41,294.5609741,41,296.0487671
12,3,10003,56,294.8214417,54,296.944458
13,3,10003,54,284.8148193,54,294.4259338
14,3,10003,29,296.5172424,30,288.9666748
15,3,10003,33,588.1212158,33,593.4848633
16,3,10003,38,585.9736938,38,589.3947144
17,3,10003,23,585.4347534,25,597.039978
10,4,10003,48,299.7291565,46,289.4347839
