Location_id,District Number,Borough,School Number
10000,01,Manhattan,015
10001,01,Manhattan,019
10002,01,Manhattan,020
10003,01,Manhattan,034
10004,01,Manhattan,063
10005,01,Manhattan,064
10006,01,Manhattan,110
10007,01,Manhattan,134
10008,01,Manhattan,140
10009,01,Manhattan,142
10010,01,Manhattan,184
10011,01,Manhattan,188
10012,01,Manhattan,315
10013,01,Manhattan,332
10014,01,Manhattan,361
10015,01,Manhattan,363
10016,01,Manhattan,364
10017,01,Manhattan,378
10018,01,Manhattan,450
10019,01,Manhattan,539
10020,01,Manhattan,839
10021,02,Manhattan,001
10022,02,Manhattan,002
10023,02,Manhattan,003
10024,02,Manhattan,006
10025,02,Manhattan,011
10026,02,Manhattan,033
10027,02,Manhattan,040
10028,02,Manhattan,041
10029,02,Manhattan,042
10030,02,Manhattan,051
10031,02,Manhattan,059
10032,02,Manhattan,077
10033,02,Manhattan,089
10034,02,Manhattan,104
10035,02,Manhattan,111
10036,02,Manhattan,114
10037,02,Manhattan,116
10038,02,Manhattan,124
10039,02,Manhattan,126
10040,02,Manhattan,130
10041,02,Manhattan,131
10042,02,Manhattan,150
10043,02,Manhattan,151
10044,02,Manhattan,158
10045,02,Manhattan,167
10046,02,Manhattan,177
10047,02,Manhattan,183
10048,02,Manhattan,198
10049,02,Manhattan,212
10050,02,Manhattan,217
10051,02,Manhattan,225
10052,02,Manhattan,234
10053,02,Manhattan,255
10054,02,Manhattan,260
10055,02,Manhattan,267
10056,02,Manhattan,276
10057,02,Manhattan,281
10058,02,Manhattan,289
10059,02,Manhattan,290
10060,02,Manhattan,297
10061,02,Manhattan,312
10062,02,Manhattan,340
10063,02,Manhattan,343
10064,02,Manhattan,347
10065,02,Manhattan,397
10066,02,Manhattan,407
10067,02,Manhattan,408
10068,02,Manhattan,413
10069,02,Manhattan,422
10070,02,Manhattan,442
10071,02,Manhattan,527
10072,02,Manhattan,896
10073,02,Manhattan,933
10074,03,Manhattan,009
10075,03,Manhattan,054
10076,03,Manhattan,075
10077,03,Manhattan,076
10078,03,Manhattan,084
10079,03,Manhattan,087
10080,03,Manhattan,145
10081,03,Manhattan,149
10082,03,Manhattan,163
10083,03,Manhattan,165
10084,03,Manhattan,166
10085,03,Manhattan,180
10086,03,Manhattan,185
10087,03,Manhattan,191
10088,03,Manhattan,199
10089,03,Manhattan,241
10090,03,Manhattan,242
10091,03,Manhattan,243
10092,03,Manhattan,245
10093,03,Manhattan,247
10094,03,Manhattan,250
10095,03,Manhattan,256
10096,03,Manhattan,258
10097,03,Manhattan,291
10098,03,Manhattan,333
10099,03,Manhattan,334
10100,03,Manhattan,415
10101,03,Manhattan,421
10102,03,Manhattan,452
10103,03,Manhattan,859
10104,03,Manhattan,860
10105,03,Manhattan,862
10106,04,Manhattan,007
10107,04,Manhattan,012
10108,04,Manhattan,037
10109,04,Manhattan,038
10110,04,Manhattan,057
10111,04,Manhattan,072
10112,04,Manhattan,083
10113,04,Manhattan,096
10114,04,Manhattan,102
10115,04,Manhattan,108
10116,04,Manhattan,146
10117,04,Manhattan,155
10118,04,Manhattan,171
10119,04,Manhattan,182
10120,04,Manhattan,206
10121,04,Manhattan,224
10122,04,Manhattan,372
10123,04,Manhattan,375
10124,04,Manhattan,377
10125,04,Manhattan,497
10126,04,Manhattan,610
10127,04,Manhattan,825
10128,04,Manhattan,964
10129,05,Manhattan,030
10130,05,Manhattan,036
10131,05,Manhattan,046
10132,05,Manhattan,092
10133,05,Manhattan,123
10134,05,Manhattan,125
10135,05,Manhattan,129
10136,05,Manhattan,133
10137,05,Manhattan,148
10138,05,Manhattan,154
10139,05,Manhattan,161
10140,05,Manhattan,175
10141,05,Manhattan,194
10142,05,Manhattan,197
10143,05,Manhattan,200
10144,05,Manhattan,286
10145,05,Manhattan,318
10146,05,Manhattan,362
10147,05,Manhattan,371
10148,05,Manhattan,499
10149,05,Manhattan,514
10150,05,Manhattan,517
10151,05,Manhattan,670
10152,06,Manhattan,004
10153,06,Manhattan,005
10154,06,Manhattan,008
10155,06,Manhattan,018
10156,06,Manhattan,028
10157,06,Manhattan,048
10158,06,Manhattan,052
10159,06,Manhattan,098
10160,06,Manhattan,103
10161,06,Manhattan,115
10162,06,Manhattan,128
10163,06,Manhattan,132
10164,06,Manhattan,143
10165,06,Manhattan,152
10166,06,Manhattan,153
10167,06,Manhattan,173
10168,06,Manhattan,178
10169,06,Manhattan,187
10170,06,Manhattan,189
10171,06,Manhattan,192
10172,06,Manhattan,209
10173,06,Manhattan,210
10174,06,Manhattan,223
10175,06,Manhattan,278
10176,06,Manhattan,293
10177,06,Manhattan,311
10178,06,Manhattan,314
10179,06,Manhattan,319
10180,06,Manhattan,322
10181,06,Manhattan,324
10182,06,Manhattan,328
10183,06,Manhattan,346
10184,06,Manhattan,348
10185,06,Manhattan,349
10186,06,Manhattan,366
10187,06,Manhattan,368
10188,06,Manhattan,513
10189,06,Manhattan,528
10190,07,Bronx,001
10191,07,Bronx,005
10192,07,Bronx,018
10193,07,Bronx,025
10194,07,Bronx,029
10195,07,Bronx,030
10196,07,Bronx,031
10197,07,Bronx,043
10198,07,Bronx,049
10199,07,Bronx,065
10200,07,Bronx,154
10201,07,Bronx,157
10202,07,Bronx,161
10203,07,Bronx,179
10204,07,Bronx,221
10205,07,Bronx,223
10206,07,Bronx,224
